base_upper_bounds,1e-06
EX_12ppd_S_e_r,1e-09
EX_15dap_e_r,1e-09
EX_2ddglcn_e_r,1e-09
EX_3hpppn_e_r,1e-09
EX_4abut_e_r,1e-09
EX_4hbz_e_r,1e-04
EX_4hoxpacd_e_r,1e-09
EX_7dhcdchol_e_r,1e-09
EX_7ocholate_e_r,1e-09
EX_ac_e_r,1e-04
EX_acac_e_r,1e-09
EX_acald_e_r,1e-09
EX_acgal_e_r,1e-09
EX_acgam_e_r,1e-04
EX_acnam_e_r,1e-04
EX_acnam2a6agal_e_r,1e-09
EX_adn_e_r,1e-04
EX_adocbl_e_r,0.01
EX_agam1b3agal_e_r,1e-09
EX_agam1b6agal_e_r,1e-09
EX_akg_e_r,1e-09
EX_ala_D_e_r,1e-04
EX_ala_L_e_r,0.0372086
EX_alaasp_e_r,1e-09
EX_alagln_e_r,1e-09
EX_alaglu_e_r,1e-09
EX_alagly_e_r,1e-09
EX_alahis_e_r,1e-09
EX_alaleu_e_r,1e-09
EX_alathr_e_r,1e-09
EX_alltn_e_r,1e-09
EX_arab_L_e_r,0.001
EX_arbt_e_r,1e-09
EX_arg_L_e_r,0.0203519
EX_asn_L_e_r,0.05
EX_aso3_e_r,1e-09
EX_aso4_e_r,1e-09
EX_asp_L_e_r,0.0470867
EX_btn_e_r,2e-05
EX_but_e_r,0.0263343
EX_butso3_e_r,1e-09
EX_C02528_e_r,1e-09
EX_ca2_e_r,0.0185491
EX_cbl1_e_r,1e-04
EX_cbl2_e_r,1e-09
EX_cd2_e_r,1e-09
EX_cgly_e_r,1e-04
EX_chol_e_r,0.041251
EX_cholate_e_r,1e-09
EX_cinnm_e_r,1e-09
EX_cit_e_r,1e-04
EX_cl_e_r,0.3755575
EX_co2_e_r,1e-09
EX_cobalt2_e_r,0.001
EX_core2_e_r,1e-09
EX_core2_rl_e_r,1e-09
EX_core3_e_r,1e-09
EX_core6_e_r,1e-09
EX_core8_e_r,1e-09
EX_crn_e_r,0.05
EX_csn_e_r,1e-04
EX_ctbt_e_r,1e-09
EX_cu2_e_r,0.00357
EX_cynt_e_r,1e-09
EX_cys_L_e_r,0.0075118
EX_cytd_e_r,0.05
EX_dad_2_e_r,1e-04
EX_dcyt_e_r,1e-04
EX_ddca_e_r,0.013459
EX_dgsn_e_r,1e-04
EX_dhcinnm_e_r,1e-09
EX_dhpppn_e_r,1e-09
EX_din_e_r,1e-09
EX_dms_e_r,1e-09
EX_dmso_e_r,1e-09
EX_drib_e_r,1e-04
EX_duri_e_r,1e-04
EX_etha_e_r,1e-09
EX_ethso3_e_r,1e-09
EX_etoh_e_r,0.234434
EX_f1a_e_r,1e-09
EX_f1a_rl_e_r,1e-09
EX_fe2_e_r,0.0001092
EX_fe3_e_r,0.0001092
EX_fecrm_e_r,1e-09
EX_for_e_r,1e-04
EX_fru_e_r,0.1065059
EX_fuc_L_e_r,1e-09
EX_fuc1p_L_e_r,1e-09
EX_fum_e_r,1e-04
EX_g6p_e_r,1e-09
EX_gal_e_r,3e-05
EX_gal1a3acgal_e_r,1e-09
EX_gal1b3acgal_e_r,1e-09
EX_galct_D_e_r,1e-09
EX_galctn_D_e_r,1e-09
EX_galt_e_r,1e-09
EX_galur_e_r,1e-09
EX_gbbtn_e_r,1e-09
EX_gcald_e_r,1e-09
EX_glc_D_e_r,0.1355804
EX_glcn_e_r,1e-04
EX_glcr_e_r,1e-09
EX_glcur_e_r,1e-09
EX_gln_L_e_r,0.05
EX_glu_L_e_r,0.1031222
EX_gly_e_r,0.0367647
EX_glyasn_e_r,1e-09
EX_glyasp_e_r,1e-09
EX_glyb_e_r,1e-09
EX_glyc_e_r,1e-04
EX_glyc3p_e_r,1e-04
EX_glyclt_e_r,1e-09
EX_glycys_e_r,1e-09
EX_glygln_e_r,1e-09
EX_glyglu_e_r,1e-09
EX_glyleu_e_r,1e-04
EX_glymet_e_r,1e-04
EX_glyphe_e_r,1e-09
EX_glypro_e_r,1e-04
EX_glytyr_e_r,1e-09
EX_gsn_e_r,1e-04
EX_h_e_r,1e-04
EX_h2_e_r,1e-04
EX_h2o_e_r,165.8923425
EX_h2s_e_r,1e-04
EX_hdca_e_r,0.0927851
EX_hexs_e_r,1e-09
EX_hg2_e_r,1e-09
EX_his_L_e_r,0.0140241
EX_hxan_e_r,1e-04
EX_idon_L_e_r,1e-09
EX_ile_L_e_r,0.0289217
EX_indole_e_r,1e-04
EX_ins_e_r,1e-04
EX_isetac_e_r,1e-09
EX_k_e_r,0.0834338
EX_lac_D_e_r,1e-09
EX_lac_L_e_r,1e-04
EX_lcts_e_r,0.0041267
EX_Lcyst_e_r,1e-09
EX_leu_L_e_r,0.0468878
EX_lys_L_e_r,0.0333115
EX_mal_L_e_r,1e-04
EX_malt_e_r,0.0084138
EX_malthx_e_r,1e-09
EX_malttr_e_r,1e-09
EX_man_e_r,1e-04
EX_man6p_e_r,1e-09
EX_mantr_e_r,1e-09
EX_melib_e_r,1e-04
EX_met_D_e_r,1e-09
EX_met_L_e_r,0.0107274
EX_metala_e_r,1e-09
EX_metsox_R_L_e_r,1e-09
EX_metsox_S_L_e_r,1e-04
EX_mg2_e_r,0.0145299
EX_MGlcn100_e_r,1e-09
EX_MGlcn100_rl_e_r,1e-09
EX_MGlcn101_e_r,1e-09
EX_MGlcn101_rl_e_r,1e-09
EX_MGlcn102_e_r,1e-09
EX_MGlcn102_rl_e_r,1e-09
EX_MGlcn104_e_r,1e-09
EX_MGlcn104_rl_e_r,1e-09
EX_MGlcn105_e_r,1e-09
EX_MGlcn105_rl_e_r,1e-09
EX_MGlcn106_e_r,1e-09
EX_MGlcn106_rl_e_r,1e-09
EX_MGlcn107_e_r,1e-09
EX_MGlcn107_rl_e_r,1e-09
EX_MGlcn109_e_r,1e-09
